word frequencyM frequencyNA sum
us 10 113 123
also 0 82 82
one 11 46 57
well 21 28 49
upon 6 42 48
great 4 44 48
good 20 26 46
yet 13 29 42
said 2 40 42
make 3 38 41
men 4 36 40
land 1 37 38
many 0 38 38
shall 11 25 36
time 7 28 35
made 4 30 34
divers 0 34 34
come 9 24 33
man 4 29 33
call 8 25 33
things 5 28 33
came 3 30 33
give 6 26 32
king 16 15 31
know 11 20 31
lord 27 4 31
thou 25 5 30
would 4 26 30
day 4 24 28
three 4 23 27
god 5 22 27
little 0 27 27
see 11 14 25
say 10 15 25
like 3 22 25
people 0 25 25
much 4 20 24
house 1 23 24
without 3 21 24
done 13 10 23
might 1 22 23
use 0 23 23
likewise 0 23 23
sir 22 0 22
light 6 16 22
thee 14 7 21
hath 11 10 21
two 4 17 21
may 4 17 21
let 14 7 21
set 2 18 20
macbeth 20 0 20
though 3 17 20
take 4 16 20
ye 1 19 20
strangers 0 20 20
state 0 20 20
forth 2 17 19
must 7 12 19
world 0 19 19
think 0 19 19
thy 13 5 18
hand 4 14 18
greater 2 16 18
number 0 18 18
ever 3 14 17
father 5 12 17
parts 0 17 17
years 0 17 17
far 0 17 17
within 2 14 16
every 3 13 16
water 1 14 15
new 1 14 15
could 5 10 15
amongst 0 15 15
several 0 15 15
family 0 15 15
thane 14 0 14
stay 3 11 14
went 3 11 14
night 10 4 14
tis 14 0 14
nature 2 12 14
sick 1 13 14
days 0 14 14
long 0 14 14
unto 0 14 14
excellent 0 14 14
seen 0 14 14
first 0 14 14
natural 0 14 14
worthy 10 3 13
art 6 7 13
rest 2 11 13
bring 6 7 13
live 2 11 13
sea 0 13 13
part 0 13 13
city 0 13 13
small 0 13 13
ship 0 13 13
therefore 0 13 13
bodies 0 13 13
works 0 13 13
places 0 13 13
marriage 0 13 13
inventor 0 13 13
place 3 9 12
ile 12 0 12
another 2 10 12
none 5 7 12
earth 2 10 12
left 1 11 12
kind 1 11 12
life 1 11 12
put 3 9 12
name 4 8 12
gold 0 12 12
means 0 12 12
order 0 12 12
end 0 12 12
tell 2 9 11
thought 3 8 11
go 6 5 11
feast 1 10 11
leave 4 7 11
knowledge 1 10 11
former 1 10 11
brought 1 10 11
towards 0 11 11
next 0 11 11
find 0 11 11
six 0 11 11
either 0 11 11
bensalem 0 11 11
ships 0 11 11
tirsan 0 11 11
stood 2 8 10
wife 8 2 10
ha 10 0 10
never 3 7 10
ask 1 9 10
way 4 6 10
better 2 8 10
strange 1 9 10
birds 1 9 10
heaven 1 9 10
found 1 9 10
abroad 1 9 10
son 1 9 10
fair 0 10 10
boat 0 10 10
persons 0 10 10
whereof 0 10 10
blue 0 10 10
somewhat 0 10 10
called 0 10 10
cometh 0 10 10
manner 0 10 10
true 0 10 10
laws 0 10 10
kingdom 0 10 10
salomon 0 10 10
motions 0 10 10
st 9 0 9
cawdor 9 0 9
children 5 4 9
back 1 8 9
friends 3 6 9
speak 3 6 9
country 1 8 9
nation 1 8 9
wherein 0 9 9
besides 0 9 9
europe 0 9 9
island 0 9 9
nations 0 9 9
others 0 9 9
kinds 0 9 9
experiments 0 9 9
words 3 5 8
eyes 4 4 8
haile 8 0 8
doe 8 0 8
happy 1 7 8
full 3 5 8
love 2 6 8
almost 4 4 8
sight 4 4 8
together 1 7 8
thus 2 6 8
colour 1 7 8
trouble 4 4 8
body 1 7 8
since 2 6 8
stand 4 4 8
sit 3 5 8
saw 2 6 8
person 1 7 8
high 1 7 8
unknown 1 7 8
whether 1 7 8
rather 1 7 8
neither 1 7 8
nothing 1 7 8
taste 1 7 8
large 1 7 8
whole 0 8 8
humanity 0 8 8
answered 0 8 8
right 0 8 8
past 0 8 8
keep 0 8 8
chambers 0 8 8
company 0 8 8
divine 0 8 8
governor 0 8 8
thing 0 8 8
books 0 8 8
air 0 8 8
fellows 0 8 8
instruments 0 8 8
herald 0 8 8
blessing 0 8 8
represent 0 8 8
lost 3 4 7
speake 7 0 7
seem 2 5 7
told 1 6 7
till 3 4 7
receive 1 6 7
still 3 4 7
gave 1 6 7
known 3 4 7
heere 7 0 7
foot 1 6 7
fit 3 4 7
countries 1 6 7
secret 1 6 7
indeed 1 6 7
relation 1 6 7
age 1 6 7
answer 1 6 7
face 3 4 7
deep 0 7 7
hour 0 7 7
cross 0 7 7
seemed 0 7 7
cast 0 7 7
took 0 7 7
desired 0 7 7
taken 0 7 7
top 0 7 7
fine 0 7 7
room 0 7 7
return 0 7 7
chair 0 7 7
rare 0 7 7
heats 0 7 7
creatures 0 7 7
grapes 0 7 7
chariot 0 7 7
variety 0 7 7
drinks 0 7 7
sounds 0 7 7
ere 4 2 6
bloody 6 0 6
save 1 5 6
noble 4 2 6
banquo 6 0 6
looke 6 0 6
enough 2 4 6
service 2 4 6
met 2 4 6
servants 2 4 6
chamber 4 2 6
peace 3 3 6
heard 3 3 6
cry 6 0 6
especially 1 5 6
matter 1 5 6
wise 1 5 6
strong 1 5 6
ten 2 4 6
murth 6 0 6
double 6 0 6
dead 5 1 6
speech 1 5 6
thousand 1 5 6
turn 2 4 6
waters 0 6 6
pass 0 6 6
whereupon 0 6 6
scroll 0 6 6
otherwise 0 6 6
given 0 6 6
certain 0 6 6
velvet 0 6 6
less 0 6 6
wall 0 6 6
cedar 0 6 6
drink 0 6 6
least 0 6 6
hear 0 6 6
silver 0 6 6
pillar 0 6 6
book 0 6 6
whereby 0 6 6
strength 0 6 6
whose 0 6 6
half-pace 0 6 6
colours 0 6 6
artificial 0 6 6
imitate 0 6 6
meet 3 2 5
shew 4 1 5
sent 2 3 5
trve 5 0 5
welcome 3 2 5
hither 3 2 5
comes 5 0 5
goes 5 0 5
hence 4 1 5
business 2 3 5
hope 4 1 5
hold 3 2 5
bed 5 0 5
sleepe 5 0 5
bless 2 3 5
hands 2 3 5
marry 1 4 5
cannot 2 3 5
horses 4 1 5
gone 3 2 5
heare 5 0 5
distance 1 4 5
away 2 3 5
thanks 2 3 5
blood 3 2 5
health 1 4 5
send 3 2 5
reason 1 4 5
prayers 1 4 5
care 1 4 5
mother 4 1 5
poore 5 0 5
tyrant 5 0 5
practise 1 4 5
wood 3 2 5
hill 1 4 5
cause 1 4 5
space 0 5 5
taking 0 5 5
victuals 0 5 5
winds 0 5 5
east 0 5 5
greatest 0 5 5
course 0 5 5
offered 0 5 5
ancient 0 5 5
spanish 0 5 5
servant 0 5 5
side 0 5 5
four 0 5 5
principal 0 5 5
voice 0 5 5
saviour 0 5 5
bowed 0 5 5
used 0 5 5
seemeth 0 5 5
taketh 0 5 5
alone 0 5 5
spake 0 5 5
custom 0 5 5
appointed 0 5 5
respect 0 5 5
dinner 0 5 5
old 0 5 5
white 0 5 5
linen 0 5 5
law 0 5 5
laid 0 5 5
remote 0 5 5
question 0 5 5
f 0 5 5
boats 0 5 5
brethren 0 5 5
